term,has_definition,has_taxonomy,term_only_uri_presence,uri_only_sources,definitions_and_fallback_hierarchy,definitions_count,taxonomy_paths_count,sources,sources_count,embedding_text,sssom_source_pairs
abrupt/rapid climate change,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,abrupt/rapid climate change,
acoustic properties,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,acoustic properties,
acoustic-gravity waves,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,acoustic-gravity waves,
active experiments,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,active experiments,
active perturbation experiments,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,active perturbation experiments,
aerosols and particles,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,aerosols and particles,
agent-based models,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,agent-based models,
agricultural systems,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,agricultural systems,
air/sea constituent fluxes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,air/sea constituent fluxes,
air/sea interactions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,air/sea interactions,
airglow and aurora,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,airglow and aurora,
alteration and weathering processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,alteration and weathering processes,
analogue modeling,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,analogue modeling,
analytical modeling and laboratory experiments,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,analytical modeling and laboratory experiments,
anoxic and hypoxic environments,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,anoxic and hypoxic environments,
anoxic environments,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,anoxic environments,
antenna arrays,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,antenna arrays,
antennas,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,antennas,
anthropogenic effects,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,anthropogenic effects,
archaeological geology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,archaeological geology,
archean,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,archean,
archeomagnetism,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,archeomagnetism,
arctic and antarctic oceanography,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,arctic and antarctic oceanography,
asteroids,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,asteroids,
asteroids: satellites,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,asteroids: satellites,
astrobiology and extraterrestrial materials,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,astrobiology and extraterrestrial materials,
astronomical forcing,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,astronomical forcing,
atlantic ocean,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,atlantic ocean,
atmosphere monitoring with geodetic techniques,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,atmosphere monitoring with geodetic techniques,
atmospheres,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,atmospheres,
atmospheric,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,atmospheric,
atmospheric composition and structure,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,atmospheric composition and structure,
atmospheric effects,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,atmospheric effects,
atmospheric processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,atmospheric processes,
atmospheric sciences,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,atmospheric sciences,
atmospheric transport and circulation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,atmospheric transport and circulation,
aurorae and airglow,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,aurorae and airglow,
"aurorae, airglow, and x-ray emission",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"aurorae, airglow, and x-ray emission",
auroral ionosphere,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,auroral ionosphere,
auroral phenomena,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,auroral phenomena,
australia,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,australia,
avalanches,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,avalanches,
back-arc basin processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,back-arc basin processes,
balanced dynamical models,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,balanced dynamical models,
benefit-cost analysis,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,benefit-cost analysis,
benthic boundary layers,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,benthic boundary layers,
benthic processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,benthic processes,
"benthic processes, benthos",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"benthic processes, benthos",
bifurcations and attractors,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,bifurcations and attractors,
bio-optics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,bio-optics,
bioavailability: chemical speciation and complexation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,bioavailability: chemical speciation and complexation,
biogenic magnetic minerals,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,biogenic magnetic minerals,
"biogeochemical cycles, processes, and modeling",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"biogeochemical cycles, processes, and modeling",
biogeochemical kinetics and reaction modeling,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,biogeochemical kinetics and reaction modeling,
biogeophysics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,biogeophysics,
biogeosciences,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,biogeosciences,
biological effects,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,biological effects,
biomineralization,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,biomineralization,
biomolecular and chemical tracers,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,biomolecular and chemical tracers,
bioremediation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,bioremediation,
biosignatures and proxies,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,biosignatures and proxies,
biosphere/atmosphere interactions,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,biosphere/atmosphere interactions,
body waves,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,body waves,
boundary layer processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,boundary layer processes,
calderas,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,calderas,
cambrian,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,cambrian,
capillary waves,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,capillary waves,
carbon cycling,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,carbon cycling,
carboniferous,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,carboniferous,
cascades,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,cascades,
catastrophe and catastrophe theory,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,catastrophe and catastrophe theory,
celestial mechanics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,celestial mechanics,
cellular automata,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,cellular automata,
cenozoic,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,cenozoic,
centaurs,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,centaurs,
chaos,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,chaos,
charged particle motion and acceleration,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,charged particle motion and acceleration,
chemical and biological geochronology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,chemical and biological geochronology,
chemical kinetic and photochemical properties,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,chemical kinetic and photochemical properties,
chemical speciation and complexation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,chemical speciation and complexation,
chemical tracers,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,chemical tracers,
chemistry of fresh water,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,chemistry of fresh water,
clathrate,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,clathrate,
climate and interannual variability,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,climate and interannual variability,
climate change and variability,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,climate change and variability,
climate dynamics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,climate dynamics,
climate impact,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,climate impact,
climate impacts,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,climate impacts,
climate variability,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,climate variability,
cloud optics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,cloud optics,
cloud physics and chemistry,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,cloud physics and chemistry,
cloud/radiation interaction,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,cloud/radiation interaction,
clouds and aerosols,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,clouds and aerosols,
clouds and cloud feedbacks,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,clouds and cloud feedbacks,
coal geology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,coal geology,
colloids,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,colloids,
comets,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,comets,
comets: dust tails and trails,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,comets: dust tails and trails,
community management,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,community management,
community modeling frameworks,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,community modeling frameworks,
community standards,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,community standards,
comparative planetology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,comparative planetology,
complex systems,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,complex systems,
composition of aerosols and dust particles,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,composition of aerosols and dust particles,
composition of meteorites,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,composition of meteorites,
composition of the biosphere,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,composition of the biosphere,
composition of the continental crust,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,composition of the continental crust,
composition of the core,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,composition of the core,
composition of the hydrosphere,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,composition of the hydrosphere,
composition of the mantle,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,composition of the mantle,
composition of the moon,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,composition of the moon,
composition of the oceanic crust,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,composition of the oceanic crust,
composition of the planets,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,composition of the planets,
computational geophysics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,computational geophysics,
computational hydrology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,computational hydrology,
computational methods and data processing,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,computational methods and data processing,
computational methods: potential fields,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,computational methods: potential fields,
computational methods: seismic,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,computational methods: seismic,
"computational models, algorithms",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"computational models, algorithms",
computational seismology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,computational seismology,
constituent sources and sinks,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,constituent sources and sinks,
contaminant and organic biogeochemistry,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,contaminant and organic biogeochemistry,
continental climate records,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,continental climate records,
continental contractional orogenic belts and inversion tectonics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,continental contractional orogenic belts and inversion tectonics,
continental cratons,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,continental cratons,
continental crust,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,continental crust,
continental margins: convergent,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,continental margins: convergent,
continental margins: divergent,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,continental margins: divergent,
continental margins: transform,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,continental margins: transform,
continental neotectonics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,continental neotectonics,
continental shelf and slope processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,continental shelf and slope processes,
continental structures,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,continental structures,
continental tectonics: compressional,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,continental tectonics: compressional,
continental tectonics: extensional,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,continental tectonics: extensional,
continental tectonics: general,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,continental tectonics: general,
continental tectonics: strike-slip and transform,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,continental tectonics: strike-slip and transform,
contingency planning,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,contingency planning,
convective processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,convective processes,
coral reef systems,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,coral reef systems,
corals,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,corals,
coriolis effects,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,coriolis effects,
corotating streams,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,corotating streams,
corrections,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,corrections,
correlative geochronology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,correlative geochronology,
cosmogenic isotopes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,cosmogenic isotopes,
cosmogenic-nuclide exposure dating,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,cosmogenic-nuclide exposure dating,
coupled models of the climate system,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,coupled models of the climate system,
creep and deformation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,creep and deformation,
cretaceous,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,cretaceous,
critical phenomena,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,critical phenomena,
critical zone,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,critical zone,
cryobiology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,cryobiology,
cryosol,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,cryosol,
cryospheric change,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,cryospheric change,
current systems,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,current systems,
currents,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,currents,
curriculum and laboratory design,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,curriculum and laboratory design,
cyberinfrastructure,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,cyberinfrastructure,
dams,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,dams,
data analysis: algorithms and implementation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,data analysis: algorithms and implementation,
data and information discovery,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,data and information discovery,
data and information governance,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,data and information governance,
data assimilation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,data assimilation,
"data assimilation, integration and fusion",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"data assimilation, integration and fusion",
data management,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,data management,
"data management, preservation, rescue",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"data management, preservation, rescue",
data presentation and visualization,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,data presentation and visualization,
data sets,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,data sets,
debris flow and landslides,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,debris flow and landslides,
decadal ocean variability,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,decadal ocean variability,
decision analysis,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,decision analysis,
decision making under uncertainty,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,decision making under uncertainty,
deep recirculations,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,deep recirculations,
defects,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,defects,
demand estimation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,demand estimation,
descriptive and regional oceanography,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,descriptive and regional oceanography,
devonian,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,devonian,
diapir and diapirism,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,diapir and diapirism,
"diel, seasonal, and annual cycles",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"diel, seasonal, and annual cycles",
disaster management,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,disaster management,
disaster mitigation,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,disaster mitigation,
disaster policy,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,disaster policy,
disaster resilience,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,disaster resilience,
disaster risk analysis and assessment,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,disaster risk analysis and assessment,
disaster risk communication,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,disaster risk communication,
discontinuities,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,discontinuities,
"diurnal, seasonal, and annual cycles",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"diurnal, seasonal, and annual cycles",
diversity,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,diversity,
downhole methods,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,downhole methods,
dynamics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,dynamics,
dynamics and mechanics of faulting,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,dynamics and mechanics of faulting,
dynamics of lithosphere and mantle: general,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,dynamics of lithosphere and mantle: general,
"dynamics: convection currents, and mantle plumes",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"dynamics: convection currents, and mantle plumes",
dynamics: gravity and tectonics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,dynamics: gravity and tectonics,
dynamics: seismotectonics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,dynamics: seismotectonics,
dynamo: theories and simulations,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,dynamo: theories and simulations,
early environment of earth,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,early environment of earth,
early warning systems,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,early warning systems,
earth rotation variations,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,earth rotation variations,
earth system modeling,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,earth system modeling,
earth's interior: composition and state,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,earth's interior: composition and state,
earth's interior: dynamics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,earth's interior: dynamics,
earthquake dynamics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,earthquake dynamics,
earthquake ground motions and engineering seismology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,earthquake ground motions and engineering seismology,
"earthquake interaction, forecasting, and prediction",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"earthquake interaction, forecasting, and prediction",
earthquake source observations,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,earthquake source observations,
eastern boundary currents,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,eastern boundary currents,
eco-hydrology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,eco-hydrology,
ecological prediction,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,ecological prediction,
economic geology,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,economic geology,
economic impacts of disasters,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,economic impacts of disasters,
"ecosystems, structure and dynamics",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"ecosystems, structure and dynamics",
"ecosystems, structure, dynamics, and modeling",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"ecosystems, structure, dynamics, and modeling",
eddies and mesoscale processes,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,eddies and mesoscale processes,
effusive volcanism,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,effusive volcanism,
"ejecta, driver gases, and magnetic clouds",False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,"ejecta, driver gases, and magnetic clouds",
el nino,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,el nino,
elasticity and anelasticity,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,elasticity and anelasticity,
electromagnetic noise and interference,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,electromagnetic noise and interference,
electromagnetic theory,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,electromagnetic theory,
electromagnetics,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,electromagnetics,
electrostatic structures,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,electrostatic structures,
elementary and secondary education,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,elementary and secondary education,
emergency management,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,emergency management,
emergency response and evacuations,False,False,True,AGU Index Terms,,0,0,AGU Index Terms,1,emergency response and evacuations,
